i,real_index,MAE,Phi,SMI
180,3211,0.17210597,82.78940332,NC(=N)CC=CF
181,7171,0.15209570,84.79042953,NC1CC(CO)C1
182,479,0.21259490,78.74051015,CC(C)(F)CN
183,8469,0.22791766,77.20823409,Cc1[nH]ccc1F
184,2849,0.33817111,66.18288853,CC(F)(C#C)C#C
185,6253,0.27491303,72.50869736,OCC1(F)CNC1
186,7069,0.18326254,81.67374635,Cc1cc(N)co1
187,1584,0.22770667,77.22933281,Nc1cnno1
188,7540,0.18164489,81.83551130,OC1CCOC=C1
189,6360,0.20321857,79.67814251,CC1(CCN)CN1
190,3859,0.15935178,84.06482232,CCC(F)CCF
191,7985,0.21252382,78.74761780,Nc1n[nH][nH]c1=O
192,3829,0.24185773,75.81422688,NCCC(N)CN
193,4780,0.16794472,83.20552837,CCN(O)C=NO
194,8446,0.22759875,77.24012508,Cc1[nH]nnc1F
195,12,1.38724042,-38.72404217,O=O
196,8709,0.24970199,75.02980077,FCCC1CCC1
197,2130,0.23587116,76.41288364,NC1CC1CO
198,3652,0.22284887,77.71511337,CC1(F)COC1=O
199,440,0.30697920,69.30207980,C1CC=NN1
200,8341,0.19082157,80.91784333,Nc1nccn1N
201,1933,0.25660493,74.33950662,FCC=CC=C
202,1880,0.24219508,75.78049231,CC#CCC=O
203,1152,0.22989973,77.01002690,CNC(=N)OC
204,2062,0.21881813,78.11818669,COCC1CC1
205,1388,0.24550742,75.44925800,N=C1NCCO1
206,8546,0.20112704,79.88729645,Nc1ocnc1F
207,7741,0.17626377,82.37362304,CC1=NOCCO1
208,2127,0.20780773,79.21922661,CC1CC1CF
209,578,0.23250609,76.74939090,FC(F)CC#C
210,2194,0.26202888,73.79711161,FC(F)C1CC1
211,8170,0.19837679,80.16232053,On1nn[nH]c1=O
212,240,0.38932430,61.06757012,CC1(C)CC1
213,5852,0.16489746,83.51025425,CN(N)C(=N)CF
214,6621,0.26921422,73.07857751,O=c1[nH]oc(=O)[nH]1
215,8072,0.22352105,77.64789506,Nn1[nH]nnc1=N
216,7733,0.20344934,79.65506575,CC1=NCCCN1
217,4352,0.18770740,81.22925955,CCNC(=N)NN
218,4776,0.20623968,79.37603188,CCN(N)C=NN
219,5364,0.20703395,79.29660499,CC(C)C(C)CF
220,1906,0.19098631,80.90136872,NCC=CCO
221,5391,0.17001728,82.99827186,CC(O)C(N)CO
222,1974,0.28803466,71.19653353,CCC#CCN
223,3660,0.17442671,82.55732925,CCC1CC1(C)N
224,6736,0.21738466,78.26153358,CN1CC=C(C)C1
225,5161,0.28366945,71.63305468,CC=C(F)C#CC
226,2300,0.26590464,73.40953596,C1C2NN=CC12
227,4445,0.22891036,77.10896416,OCC(=N)NC=O
228,3911,0.16578133,83.42186694,COC(C)CCN
229,8746,0.31017814,68.98218604,C=CCC1CCC1
230,7923,0.17457260,82.54273974,NC1CCOC1=C
231,8191,0.40263623,59.73637702,On1nnoc1=N
232,3676,0.18998816,81.00118425,CNC1CC1(C)C
233,5111,0.22190470,77.80953000,CC=C(C)OC=C
234,4665,0.23946101,76.05389894,O=C(CC#C)C#N
235,2677,0.31991614,68.00838635,CCC(C)(C)CC
236,4320,0.18088519,81.91148057,COC(=O)CCN
237,2831,0.24862569,75.13743066,FC(F)(C=O)C#N
238,2563,0.20295744,79.70425550,OC(=O)CC(O)=O
239,2507,0.19991418,80.00858185,CC(N)CC(N)=O
240,4353,0.18876464,81.12353645,CCNC(=N)NO
241,6452,0.18405045,81.59495515,CN1CC1(C)CN
242,8162,0.25943734,74.05626614,Cn1cn[nH]c1=O
243,5899,0.16300380,83.69961983,CC(F)C(=C)C=C
244,8491,0.25587107,74.41289325,Nc1[nH]cnc1O
245,7231,0.19419239,80.58076085,OC1CN(C1)C=O
