N_ele,N_states,sum_f_k
48,1890,38.3612
48,1890,38.4333
48,1800,38.4927
48,1710,38.437
48,1800,38.5606
48,1980,38.4199
48,1800,38.4131
48,1800,38.5089
48,1710,38.5734
48,1620,38.505
48,1710,38.6281
48,1980,38.3451
48,1890,38.4057
48,1890,38.4613
48,1800,38.5035
48,1890,38.3564
48,1800,38.4764
48,1800,38.4855
48,1710,38.5784
48,1800,38.4469
48,1710,38.4983
48,1710,38.5874
48,1620,38.6858
48,1980,38.4304
48,1800,38.4229
48,1800,38.5623
48,1710,38.5749
46,1887,35.9657
46,1717,35.9625
44,1552,33.7907
46,1717,35.981
46,1547,36.0052
44,1392,33.8345
46,1717,36.0484
46,1547,36.0574
44,1392,33.8778
46,1632,36.1253
46,1462,36.1479
44,1312,33.9609
46,1547,36.1017
46,1632,36.2031
46,1462,36.1896
44,1312,34.0088
46,1717,36.1234
46,1632,36.1333
46,1717,36.0815
46,1632,36.0819
46,1547,36.0888
46,1632,36.1323
46,1547,36.1305
46,1462,36.1578
46,1632,36.2118
46,1547,36.2526
46,1462,36.2327
46,1547,36.2807
46,1462,36.2834
46,1377,36.3011
46,1632,36.0165
46,1547,36.0687
46,1547,36.1875
46,1462,36.2315
46,1717,36.1921
46,1547,36.1925
46,1547,36.1667
46,1377,36.3879
46,1462,36.1452
46,1462,36.2798
46,1377,36.2876
44,1632,33.9145
44,1472,33.9726
44,1472,34.0018
44,1392,34.0838
44,1312,34.0612
44,1392,34.1399
48,2160,38.1411
48,1890,38.3375
48,2070,38.2037
48,1800,38.4008
48,1980,38.2499
48,1710,38.4359
48,1890,38.4122
48,1620,38.59
48,1620,38.6006
48,1350,38.763
48,1980,38.1741
48,1890,38.1667
48,1800,38.2149
48,1800,38.2683
48,1710,38.2563
48,1710,38.4311
48,1620,38.4147
48,1440,38.6088
48,1350,38.579
48,1980,38.4486
48,1890,38.4854
48,1800,38.4597
48,1890,38.4483
48,1800,38.4569
48,1710,38.445
48,1800,38.4631
48,1710,38.4746
48,1620,38.4548
48,1980,38.3617
46,1887,35.9925
46,1632,36.1839
46,1717,36.0044
46,1632,36.0922
46,1462,36.1796
46,1717,36.0882
46,1632,36.1753
46,1462,36.2428
46,1632,36.1353
46,1547,36.2097
46,1377,36.2893
46,1547,36.0677
46,1462,36.1497
46,1292,36.235
46,1632,36.1982
46,1377,36.3622
46,1717,36.0143
46,1632,35.9927
46,1462,35.9871
46,1547,36.0761
46,1462,36.0536
46,1462,36.1502
46,1377,36.1177
46,1377,36.0581
46,1292,36.0274
46,1462,36.2183
46,1377,36.1908
46,1887,36.2069
46,1802,36.2723
46,1717,36.3104
46,1632,36.4564
46,1377,36.5967
44,1632,33.9778
44,1472,33.9806
44,1472,34.0705
44,1392,34.1108
44,1312,34.0395
44,1392,34.1748
48,2160,38.1832
48,2070,38.2602
48,1980,38.2915
48,1890,38.4219
48,1890,38.4345
48,1800,38.4819
48,1710,38.4993
48,1620,38.6301
48,1620,38.5762
48,1530,38.6281
48,1440,38.6327
48,1350,38.7779
48,1980,38.388
48,1710,38.6421
48,1440,38.7839
48,1980,38.3156
48,1890,38.388
46,1887,35.9792
46,1717,35.9872
44,1552,33.7605
46,1632,36.0983
44,1472,33.8659
46,1632,36.1868
46,1462,36.1866
44,1312,33.9281
46,1547,36.2156
44,1392,33.9772
46,1377,36.3345
46,1207,36.3285
44,1072,34.0705
46,1717,35.955
44,1632,33.8744
44,1392,34.0501
44,1152,34.1974
50,2451,40.2416
50,2356,40.3396
50,2261,40.4083
50,2166,40.5589
50,1881,40.8037
50,2261,40.442
50,2166,40.4705
50,2071,40.6409
50,1786,40.8593
50,2071,40.5486
50,1976,40.6925
50,1691,40.8684
50,1881,40.8541
50,1596,40.987
50,1311,41.1289
50,2356,40.5416
48,2160,38.1194
48,1980,38.2189
48,1980,38.2563
48,1890,38.3889
48,1800,38.2721
48,1890,38.3997
48,2070,38.1863
48,1890,38.3009
48,1800,38.4362
48,1710,38.373
48,1800,38.4923
48,1980,38.2373
48,1800,38.2716
48,1800,38.3606
48,1710,38.4575
48,1620,38.387
48,1710,38.5398
48,1890,38.3818
48,1710,38.4191
48,1710,38.5089
48,1620,38.5655
48,1530,38.4866
48,1620,38.6495
48,1620,38.6108
48,1440,38.6068
48,1440,38.6784
48,1350,38.7292
48,1260,38.6145
48,1350,38.7788
48,1980,38.4189
48,1890,38.4372
48,1890,38.5486
48,1800,38.5997
48,1890,38.4118
48,1800,38.4435
48,1800,38.5731
48,1710,38.6268
48,1800,38.4015
48,1710,38.4482
48,1710,38.5709
48,1620,38.641
46,1887,36.0063
46,1717,36.0272
46,1717,36.1114
46,1632,36.1926
46,1547,36.0888
46,1632,36.2103
46,1547,36.0409
46,1547,36.1334
46,1462,36.1718
46,1377,36.0227
46,1462,36.1986
46,1547,36.1854
46,1462,36.2408
46,1377,36.1339
46,1462,36.2611
46,1377,36.287
46,1292,36.1855
46,1377,36.3392
46,1207,36.1472
46,1292,36.3126
46,1377,36.3732
48,2160,38.2155
48,1890,38.4291
48,1620,38.564
48,1620,38.6728
48,1350,38.7899
48,1080,38.914
48,2160,37.9279
48,2070,37.9863
48,1980,38.0119
48,1890,38.1644
48,1620,38.409
48,2070,38.0436
48,1980,38.1163
48,1890,38.1549
48,1800,38.3142
48,1530,38.515
48,1980,38.1779
48,1890,38.2169
48,1800,38.2433
48,1710,38.397
48,1440,38.6077
48,2070,38.0107
48,1980,38.12
48,2160,37.898
48,2070,38.0143
48,1980,37.9705
48,1890,38.1291
48,2070,37.9479
48,1980,38.0119
48,1890,38.0178
48,1800,38.1668
48,1980,37.9775
48,1890,38.0559
48,1800,38.0642
48,1710,38.1903
48,1890,38.1548
48,1800,38.2507
48,1710,38.2321
48,1620,38.3574
48,1620,38.4094
48,1530,38.4695
48,1440,38.4322
48,1350,38.5711
48,2070,37.9644
48,1980,38.0543
48,2070,38.0797
48,2160,37.9427
48,2070,38.0224
48,1980,38.0326
48,1890,38.1763
48,1980,38.1063
48,1890,38.0755
48,1800,38.2556
48,1800,38.0902
48,1710,38.2297
48,1620,38.3865
48,2070,38.0442
48,1980,38.1436
48,2070,38.1503
48,1980,38.2297
48,1890,38.2261
48,1800,38.3694
46,1717,35.8208
46,1547,35.8931
46,1462,36.0326
46,1632,35.9314
46,1547,35.9598
46,1632,35.9958
50,2451,40.2637
50,2356,40.3591
50,2261,40.4058
50,2166,40.5699
50,2261,40.4463
50,2166,40.4935
50,2071,40.6344
50,2071,40.5355
50,1976,40.69
50,1881,40.8468
50,2356,40.3772
50,2261,40.4983
50,2166,40.4887
50,2071,40.6656
